onset	duration	trial_type	response_time	stim_file	value	sample	stage	trial	bci_prediction	n_repeated	latency
492.0762	0	left	133.33333333299998	left_hand.png	1.0	2460381.0	1	97	right	7	-18.6
497.1466	0	right	116.666666667	right_hand.png	2.0	2485733.0	1	98	left	7	-11.4
501.8364	0	right	150.0	right_hand.png	2.0	2509182.0	1	99	left	7	-25.2
506.4734	0	right	100.0	left_hand.png	2.0	2532367.0	1	100	right	7	-19.4
627.0658	0	right	50.0	right_hand.png	2.0	3135329.0	2	1	left	0	-19.4
634.2674	0	left	50.0	right_hand.png	1.0	3171337.0	2	2	left	0	-27.4
638.8876	0	right	83.3333333333	left_hand.png	2.0	3194438.0	2	3	right	0	-39.6
643.5742	0	left	133.33333333299998	left_hand.png	1.0	3217871.0	2	4	right	0	-15.8
652.2478	0	right	50.0	right_hand.png	2.0	3261239.0	2	5	left	1	14.6
656.9680000000002	0	right	50.0	right_hand.png	2.0	3284840.0	2	6	left	1	4.8
661.6758	0	right	166.66666666700002	left_hand.png	2.0	3308379.0	2	7	right	1	-18.2
666.2582	0	left	50.0	right_hand.png	1.0	3331291.0	2	8	left	1	-4.0
670.8956	0	right	66.6666666667	left_hand.png	2.0	3354478.0	2	9	right	1	-29.4
675.5158	0	right	83.3333333333	right_hand.png	2.0	3377579.0	2	10	left	1	-8.6
680.1526	0	right	100.0	left_hand.png	2.0	3400763.0	2	11	right	1	-11.8
684.7728	0	left	83.3333333333	right_hand.png	1.0	3423864.0	2	12	left	1	-24.0
689.3764	0	left	66.6666666667	left_hand.png	1.0	3446882.0	2	13	right	1	-19.6
694.2636	0	left	50.0	left_hand.png	1.0	3471318.0	2	14	right	1	-17.2
699.0338	0	right	33.3333333333	left_hand.png	2.0	3495169.0	2	15	right	1	-25.8
703.5912	0	right	16.6666666667	left_hand.png	2.0	3517956.0	2	16	right	1	-51.0
708.2238	0	right	100.0	right_hand.png	2.0	3541119.0	2	17	left	1	-25.4
713.0278	0	right	66.6666666667	left_hand.png	2.0	3565139.0	2	18	right	1	-16.6
717.7146	0	right	150.0	right_hand.png	2.0	3588573.0	2	19	left	1	7.0
722.3682	0	left	116.666666667	right_hand.png	1.0	3611841.0	2	20	left	1	-13.0
727.0219999999998	0	right	116.666666667	left_hand.png	2.0	3635110.0	2	21	right	1	-7.6
731.6460000000002	0	left	83.3333333333	left_hand.png	1.0	3658230.0	2	22	right	1	-14.8
736.3456	0	right	166.66666666700002	left_hand.png	2.0	3681728.0	2	23	right	1	-11.0
